אוסטריה,3
איראן,1
אפגניסטן,1
בולגריה,2
ברית המועצות,2
גרמניה,3
הודו,1
ישראל,81
ליטא,3
מרוקו,13
עיראק,7
פולין,6
רומניה,4
רוסיה,1
תימן,1
