אוסטריה,1,,
אוקראינה,10,,
איראן,1,,
אפריקה,1,,
בולגריה,1,,
ברית המועצות,1,,
גליציה,10,,
גרמניה,4,,
הונגריה,4,,
טורקיה,1,,
יוון,1,,
ישראל,30,,
לוב,1,,
לטביה,1,,
ליטא,2,,
מצרים,1,,
מרוקו,1,,
סוריה,2,,
ספרד,1,,
עיראק,4,,
פולין,27,,
צ'כיה,1,,
רומניה,1,,
רוסיה,16,,
רוסיה הלבנה ,4,,
תוניסיה,3,,
תימן,2,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,"אוסטריה ,"
,,,"אוקראינה ,"
,,,"איראן ,"
,,,"אפריקה ,"
,,,"בולגריה ,"
,,,"ברית המועצות ,"
,,,"גליציה ,"
,,,"גרמניה ,"
,,,"הונגריה ,"
,,,"טורקיה ,"
,,,"יוון ,"
,,,"ישראל ,"
,,,"לוב ,"
,,,"לטביה ,"
,,,"ליטא ,"
,,,"מצרים ,"
,,,"מרוקו ,"
,,,"סוריה ,"
,,,"ספרד ,"
,,,"עיראק ,"
,,,"פולין ,"
,,,"צ'כיה ,"
,,,"רומניה ,"
,,,"רוסיה ,"
,,,"רוסיה הלבנה ,"
,,,"תוניסיה ,"
,,,"תימן ,"
